el.com","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini,Rare
and High cost
disease","MEDICAL
ONCOLOGY,RADIATION
ONCOLOGY,SURGICAL
ONCOLOGY,COVID,Rare
Disease"

Hospital Name,District,Taluk,Division,Type,Address,Phone No,Mail-ID,Scheme,Speciality

"Healthcare Global
Enterprises Ltd",Bengaluru,"BANGALO
RE",Bangalore,Private,"Healthcare Global
Enterprises Ltd  No44 45
2 2Nd Cross Raja
Rammohan Roy Extn Off
Lalbagh Double Road
Bangalore 560027",8040206000,"vasbio@hcg
el.com","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini,Rare
and High cost
disease","MEDICAL
ONCOLOGY,RADIATION
ONCOLOGY,SURGICAL
ONCOLOGY,COVID,Rare
Disease"

Hospital Name,District,Taluk,Division,Type,Address,Phone No,Mail-ID,Scheme,Speciality

Bangalore Nethralaya,Bengaluru,"BANGALO
RE",Bangalore,Private,"Bangalore Nethralaya 946
21St Main Near Bda
Complex Banashankari
2Nd Stage Bangalore
Urban 560070",8065375566,"bangalorene
thralaya@g
mail.com","Ayushman Bharat -
Arogya Karnataka",OPHTHALMOLOGY

Hospital Name,District,Taluk,Division,Type,Address,Phone No,Mail-ID,Scheme,Speciality

Bangalore Nethralaya,Bengaluru,"BANGALO
RE",Bangalore,Private,"Bangalore Nethralaya 946
21St Main Near Bda
Complex Banashankari
2Nd Stage Bangalore
Urban 560070",8065375566,"bangalorene
thralaya@g
mail.com","Ayushman Bharat -
Arogya Karnataka",OPHTHALMOLOGY

Hospital Name,District,Taluk,Division,Type,Address,Phone No,Mail-ID,Scheme,Speciality

Hospital Name,District,Taluk,Division,Type,Address,Phone No,Mail-ID,Scheme,Speciality

Hospital Name,District,Taluk,Division,Type,Address,Phone No,Mail-ID,Scheme,Speciality

"Specialist Health System
Pvt Limited",Bengaluru,"BANGALO
RE",Bangalore,Private,"Specialist Health System
Pvt Limited  No 216 7 Th
Main 80 Ft Road 1 St
Block Hrbr Layout
Kalayanagar Bangalore
560043",8042522322,"admin@spe
cialisthospit
al.co.in","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini","CARDIOLOGY,CARDIOTHOR
ACIC SURGERY,COVID"

St Marthas Heart Centre,Bengaluru,"BANGALO
RE",Bangalore,Private,"St Marthas Heart Centre
No 05 Nrupathunga Road
Bangalore 560001",8022275044,"abhijit.maitr
a@narayana
health.org","Ayushman Bharat -
Arogya Karnataka","CARDIOLOGY,CARDIOTHOR
ACIC SURGERY"

Hospital Name,District,Taluk,Division,Type,Address,Phone No,Mail-ID,Scheme,Speciality

"Specialist Health System
Pvt Limited",Bengaluru,"BANGALO
RE",Bangalore,Private,"Specialist Health System
Pvt Limited  No 216 7 Th
Main 80 Ft Road 1 St
Block Hrbr Layout
Kalayanagar Bangalore
560043",8042522322,"admin@spe
cialisthospit
al.co.in","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini","CARDIOLOGY,CARDIOTHOR
ACIC SURGERY,COVID"

St Marthas Heart Centre,Bengaluru,"BANGALO
RE",Bangalore,Private,"St Marthas Heart Centre
No 05 Nrupathunga Road
Bangalore 560001",8022275044,"abhijit.maitr
a@narayana
health.org","Ayushman Bharat -
Arogya Karnataka","CARDIOLOGY,CARDIOTHOR
ACIC SURGERY"

Hospital Name,District,Taluk,Division,Type,Address,Phone No,Mail-ID,Scheme,Speciality

Hospital Name,District,Taluk,Division,Type,Address,Phone No,Mail-ID,Scheme,Speciality

Hospital Name,District,Taluk,Division,Type,Address,Phone No,Mail-ID,Scheme,Speciality

"Rainbow Childrens
Medicare Private Limited",Bengaluru,"BANGALO
RE",Bangalore,Private,"Sy No 8 5 Marathalli  Kr
Puram Outer Ring Road
Doddanekundi Marathalli
Bengaluru 560037",8884436033,"marketingbl
r@rainbowh
ospitals.in","Ayushman Bharat -
Arogya Karnataka","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,BURNS,ENT
,GENERAL
MEDICINE,MEDICAL
ONCOLOGY,NEONATAL
AND
PAEDIATRICS,ORTHOPAEDI
CS,POLYTRAUMA,SURGICA
L
ONCOLOGY,UROLOGY,COVI
D"

"B W Lions
Superspeciality Eye
Hospital",Bengaluru,"BANGALO
RE",Bangalore,Private,"B W Lions Super
speciality Eye Hospital
05 Lions Eye Hospital
Road Off J C Road
Bangalore South 560002",8022121253,"info@bwlio
nseyehospit
al.org","Ayushman Bharat -
Arogya Karnataka",OPHTHALMOLOGY

Hospital Name,District,Taluk,Division,Type,Address,Phone No,Mail-ID,Scheme,Speciality

"Rainbow Childrens
Medicare Private Limited",Bengaluru,"BANGALO
RE",Bangalore,Private,"Sy No 8 5 Marathalli  Kr
Puram Outer Ring Road
Doddanekundi Marathalli
Bengaluru 560037",8884436033,"marketingbl
r@rainbowh
ospitals.in","Ayushman Bharat -
Arogya Karnataka","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,BURNS,ENT
,GENERAL
MEDICINE,MEDICAL
ONCOLOGY,NEONATAL
AND
PAEDIATRICS,ORTHOPAEDI
CS,POLYTRAUMA,SURGICA
L
ONCOLOGY,UROLOGY,COVI
D"

"B W Lions
Superspeciality Eye
Hospital",Bengaluru,"BANGALO
RE",Bangalore,Private,"B W Lions Super
speciality Eye Hospital
05 Lions Eye Hospital
Road Off J C Road
Bangalore South 560002",8022121253,"info@bwlio
nseyehospit
al.org","Ayushman Bharat -
Arogya Karnataka",OPHTHALMOLOGY

Hospital Name,District,Taluk,Division,Type,Address,Phone No,Mail-ID,Scheme,Speciality

"MVJ Medical College
And Research Hospital","Bengaluru
Rural","HOSAKOT
E",Bangalore,Private,"Mvj Medical College And
Research Hospital  30Th
Km Milestone National
Highway 04 Hoskote
Dandupalya 562114",8028060251,"ms@mvjmc
.edu.in","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini,Hutti
Suvarna Arogya
Yojane,Rashtriya
Bal Swasthya
Karyakram","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,BURNS,DEN
TAL AND ORAL AND
MAXILLOFACIAL
SURGERY,ENT,GENERAL
MEDICINE,NEUROSURGERY,
OPHTHALMOLOGY,ORTHOP
AEDICS,POLYTRAUMA,URO
LOGY,PLASTIC &
RECONSTRUCTIVE
SURGERY,COVID,Accident
Victims,TKR and THR"

"Nethrakashi Eye Hospital
And Micro Surgical
Center",Bengaluru,"BANGALO
RE",Bangalore,Private,"Nethrakashi Eye Hospital
And Micro Surgical
Center  No 33 1St Main
Subramanya Pura Main
Road Telecom Layout
Padmanabhanagar
Bangalore South 560061",8026393739,"sureshkorati
@yahoo.co.i
n","Ayushman Bharat -
Arogya Karnataka",OPHTHALMOLOGY

Hospital Name,District,Taluk,Division,Type,Address,Phone No,Mail-ID,Scheme,Speciality

"MVJ Medical College
And Research Hospital","Bengaluru
Rural","HOSAKOT
E",Bangalore,Private,"Mvj Medical College And
Research Hospital  30Th
Km Milestone National
Highway 04 Hoskote
Dandupalya 562114",8028060251,"ms@mvjmc
.edu.in","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini,Hutti
Suvarna Arogya
Yojane,Rashtriya
Bal Swasthya
Karyakram","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,BURNS,DEN
TAL AND ORAL AND
MAXILLOFACIAL
SURGERY,ENT,GENERAL
MEDICINE,NEUROSURGERY,
OPHTHALMOLOGY,ORTHOP
AEDICS,POLYTRAUMA,URO
LOGY,PLASTIC &
RECONSTRUCTIVE
SURGERY,COVID,Accident
Victims,TKR and THR"

"Nethrakashi Eye Hospital
And Micro Surgical
Center",Bengaluru,"BANGALO
RE",Bangalore,Private,"Nethrakashi Eye Hospital
And Micro Surgical
Center  No 33 1St Main
Subramanya Pura Main
Road Telecom Layout
Padmanabhanagar
Bangalore South 560061",8026393739,"sureshkorati
@yahoo.co.i
n","Ayushman Bharat -
Arogya Karnataka",OPHTHALMOLOGY

Hospital Name,District,Taluk,Division,Type,Address,Phone No,Mail-ID,Scheme,Speciality

Sagar Hospitals,Bengaluru,"Bengaluru
South",Bangalore,Private,"Sagar Hospitals Shavige
Malleshwara Hills
Kumarswamy Layout
Banashankari Bangalore
South 560078",42999999,"managervas
@Sagarhosp
itals.in","Ayushman Bharat -
Arogya Karnataka",COVID

Hospital Name,District,Taluk,Division,Type,Address,Phone No,Mail-ID,Scheme,Speciality

Sagar Hospitals,Bengaluru,"Bengaluru
South",Bangalore,Private,"Sagar Hospitals Shavige
Malleshwara Hills
Kumarswamy Layout
Banashankari Bangalore
South 560078",42999999,"managervas
@Sagarhosp
itals.in","Ayushman Bharat -
Arogya Karnataka",COVID

Hospital Name,District,Taluk,Division,Type,Address,Phone No,Mail-ID,Scheme,Speciality

Hospital Name,District,Taluk,Division,Type,Address,Phone No,Mail-ID,Scheme,Speciality

Hospital Name,District,Taluk,Division,Type,Address,Phone No,Mail-ID,Scheme,Speciality

"Narayana Super Speciality
Hospital",Bengaluru,"BANGALO
RE",Bangalore,Private,"Narayana Super Speciality
Hospital No 24  9Th Cross
Margosa Road
MalleshwaramBangalore
560003",8023084000,"muraliramsa
stri@gmail.
com","Ayushman Bharat -
Arogya Karnataka","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,CARDIOLO
GY,CARDIOTHORACIC
SURGERY,CARDIOVASCULA
R SURGERY,NEONATAL
AND
PAEDIATRICS,NEUROSURGE
RY,ORTHOPAEDICS,SURGIC
AL ONCOLOGY,UROLOGY"

"Medihope Hospitals And
Research Centre Pvt Ltd",Bengaluru,"BANGALO
RE",Bangalore,Private,"Medihope Hospitals And
Research Centre Pvt Ltd
No 114 1 Malleshpalya
Main Road New
Thippasandra Post
Bangalore 560075",8033431000,"samcomidih
opeblr@gm
ail.com","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini","CARDIOLOGY,CARDIOTHOR
ACIC
SURGERY,NEUROSURGERY,
ORTHOPAEDICS,POLYTRAU
MA,UROLOGY,COVID"

"Tathagat Heart Care
Centre Llp",Bengaluru,"BANGALO
RE",Bangalore,Private,"No 31 32 Mallige Medical
Centre Premises Crescent
Road Bangalore",8022357777,"tathagathear
tcentre@gm
ail.com","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini","CARDIOLOGY,CARDIOTHOR
ACIC
SURGERY,EMERGENCY
ROOM"

Hospital Name,District,Taluk,Division,Type,Address,Phone No,Mail-ID,Scheme,Speciality

"Narayana Super Speciality
Hospital",Bengaluru,"BANGALO
RE",Bangalore,Private,"Narayana Super Speciality
Hospital No 24  9Th Cross
Margosa Road
MalleshwaramBangalore
560003",8023084000,"muraliramsa
stri@gmail.
com","Ayushman Bharat -
Arogya Karnataka","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,CARDIOLO
GY,CARDIOTHORACIC
SURGERY,CARDIOVASCULA
R SURGERY,NEONATAL
AND
PAEDIATRICS,NEUROSURGE
RY,ORTHOPAEDICS,SURGIC
AL ONCOLOGY,UROLOGY"

"Medihope Hospitals And
Research Centre Pvt Ltd",Bengaluru,"BANGALO
RE",Bangalore,Private,"Medihope Hospitals And
Research Centre Pvt Ltd
No 114 1 Malleshpalya
Main Road New
Thippasandra Post
Bangalore 560075",8033431000,"samcomidih
opeblr@gm
ail.com","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini","CARDIOLOGY,CARDIOTHOR
ACIC
SURGERY,NEUROSURGERY,
ORTHOPAEDICS,POLYTRAU
MA,UROLOGY,COVID"

"Tathagat Heart Care
Centre Llp",Bengaluru,"BANGALO
RE",Bangalore,Private,"No 31 32 Mallige Medical
Centre Premises Crescent
Road Bangalore",8022357777,"tathagathear
tcentre@gm
ail.com","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini","CARDIOLOGY,CARDIOTHOR
ACIC
SURGERY,EMERGENCY
ROOM"

Hospital Name,District,Taluk,Division,Type,Address,Phone No,Mail-ID,Scheme,Speciality

Hospital Name,District,Taluk,Division,Type,Address,Phone No,Mail-ID,Scheme,Speciality

Hospital Name,District,Taluk,Division,Type,Address,Phone No,Mail-ID,Scheme,Speciality

"Leena Multispeciality
Hospital","Bengaluru
Rural","DEVANAH
ALLI",Bangalore,Private,"S Narasimhaiah Lay Out
Budigere Road
Devanahalli Town",9535000622,"varsha.arun
kumar@msr
mh.com
astpro@msr
mh.com","Ayushman Bharat -
Arogya Karnataka","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,ENT,GENER
AL MEDICINE,NEONATAL
AND
PAEDIATRICS,ORTHOPAEDI
CS,COVID"

"SI Vega Hospital Private
Limited Regal Hospital",Bengaluru,"BANGALO
RE",Bangalore,Private,"No 30  Cmr Complex
Chokkanahalli
Hegdenagar Main Road
Bangalore 560064",9902011037,"insurance@r
egalhospital.
com","Ayushman Bharat -
Arogya Karnataka","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,GENERAL
MEDICINE,ORTHOPAEDICS,
UROLOGY,COVID"

Ramaiah Harsha Hospital,"Bengaluru
Rural","NELAMAN
AGALA",Bangalore,Private,"93 4 Sondekoppa Circle
Nelamagnala",9886809595,"msramaiahh
arsha@gmai
l.com","Ayushman Bharat -
Arogya Karnataka","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,ENT,GENERAL
MEDICINE,NEUROSURGERY,
ORTHOPAEDICS,COVID"

Hospital Name,District,Taluk,Division,Type,Address,Phone No,Mail-ID,Scheme,Speciality

"Leena Multispeciality
Hospital","Bengaluru
Rural","DEVANAH
ALLI",Bangalore,Private,"S Narasimhaiah Lay Out
Budigere Road
Devanahalli Town",9535000622,"varsha.arun
kumar@msr
mh.com
astpro@msr
mh.com","Ayushman Bharat -
Arogya Karnataka","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,ENT,GENER
AL MEDICINE,NEONATAL
AND
PAEDIATRICS,ORTHOPAEDI
CS,COVID"

"SI Vega Hospital Private
Limited Regal Hospital",Bengaluru,"BANGALO
RE",Bangalore,Private,"No 30  Cmr Complex
Chokkanahalli
Hegdenagar Main Road
Bangalore 560064",9902011037,"insurance@r
egalhospital.
com","Ayushman Bharat -
Arogya Karnataka","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,GENERAL
MEDICINE,ORTHOPAEDICS,
UROLOGY,COVID"

Ramaiah Harsha Hospital,"Bengaluru
Rural","NELAMAN
AGALA",Bangalore,Private,"93 4 Sondekoppa Circle
Nelamagnala",9886809595,"msramaiahh
arsha@gmai
l.com","Ayushman Bharat -
Arogya Karnataka","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,ENT,GENERAL
MEDICINE,NEUROSURGERY,
ORTHOPAEDICS,COVID"

Hospital Name,District,Taluk,Division,Type,Address,Phone No,Mail-ID,Scheme,Speciality

Jeevan Hospital,"Chikkaballa
pur","CHICKBA
LLAPUR",Bangalore,Private,"Jeevan Hospital B B Road
Shidlaghatta Circle
Chickkballapur 562101",8156271444,"jeevanhospit
alcbp1@gm
ail.com","Ayushman Bharat -
Arogya Karnataka","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,ENT,GENER
AL
MEDICINE,ORTHOPAEDICS,
UROLOGY"

Lakshmi Eye Hospital,"Chikkaballa
pur","CHICKBA
LLAPUR",Bangalore,Private,"Lakshmi Eye Hospital No
4 3 1 Csi Hospital Raod
Beside Karnataka Bank
Chikkaballapur 562101",8156275676,"ranganath.sv
r1990@gma
il.com","Ayushman Bharat -
Arogya Karnataka",OPHTHALMOLOGY

"Nandeeshwara Super
Speciality Eye Hospital","Chikkaballa
pur","CHICKBA
LLAPUR",Bangalore,Private,"Nandeeshwara Super
Speciality Eye Hospital
Amn Complex 751 693
3Rd Division 29Th Ward
Chamrajpet
Chikkaballapur 562101",8156270072,"nandeeshaw
