Hospital Name,District,Address,Phone No,Mail-ID,Scheme,Speciality
SURGERY,OBSTETRICS AND
GYNAECOLOGY,BURNS,ENT
,GENERAL
MEDICINE,NEUROSURGERY,
OPHTHALMOLOGY,ORTHOP
AEDICS,POLYTRAUMA,URO
LOGY,COVID,Accident
Victims,TKR and THR"

"Bangalore Cancer Centre
Private Limited",Bengaluru,"118 1 2  Mookambika
Temple Road Machohalli
Forest Gate Magadi Main
Road Bangalore  560091",8028536767,"bengaluruca
ncercentre@
gmail.com","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini","MEDICAL
ONCOLOGY,RADIATION
ONCOLOGY,SURGICAL
ONCOLOGY,COVID"

"Bhagwan Mahaveer Jain
Hospital",Bengaluru,"Bhagwan Mahaveer Jain
Hospital Millers Road
Vasanthnaga Bangalore
560052",9611448800,"bmjh.mdoffi
ce@gmail.c
om","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini,Rashtriy
a Bal Swasthya
Karyakram","CARDIOLOGY,CARDIOTHOR
ACIC
SURGERY,CARDIOVASCULA
R SURGERY,NEONATAL
AND
PAEDIATRICS,NEUROSURGE
RY,ORTHOPAEDICS,POLYTR
AUMA,UROLOGY,COVID,TK
R and THR"

"Narayana Multispeciality
Hospital Whitefield",Bengaluru,"Plot No 3 4 Sadarmangala
Industrial Area Bangalore
560066",8071112555,,"Ayushman Bharat -
Arogya Karnataka","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,CARDIOLO
GY,CARDIOTHORACIC
SURGERY,ENT,GENERAL
MEDICINE,NEUROSURGERY,
ORTHOPAEDICS,SURGICAL
ONCOLOGY,UROLOGY"

"Bhagwan Mahaveer Jain
Hospital",Bengaluru,"Bhagwan Mahaveer Jain
Hospital Millers Road
Vasanthnaga Bangalore
560052",9611448800,"bmjh.mdoffi
ce@gmail.c
om","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini,Rashtriy
a Bal Swasthya
Karyakram","CARDIOLOGY,CARDIOTHOR
ACIC
SURGERY,CARDIOVASCULA
R SURGERY,NEONATAL
AND
PAEDIATRICS,NEUROSURGE
RY,ORTHOPAEDICS,POLYTR
AUMA,UROLOGY,COVID,TK
R and THR"

"Narayana Multispeciality
Hospital Whitefield",Bengaluru,"Plot No 3 4 Sadarmangala
Industrial Area Bangalore
560066",8071112555,,"Ayushman Bharat -
Arogya Karnataka","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,CARDIOLO
GY,CARDIOTHORACIC
SURGERY,ENT,GENERAL
MEDICINE,NEUROSURGERY,
ORTHOPAEDICS,SURGICAL
ONCOLOGY,UROLOGY"

"SPARSH HOSPITAL RR
Nagar",Bengaluru,"No 8 Ideal Homes HBCS
Layout  Rajarajeshwari
Nagar Bangalore South
560098",9513466026,"sast.msr@sp
arshhospital.
com","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini,Organ
Transplantion","GENERAL
SURGERY,CARDIOLOGY,CA
RDIOTHORACIC
SURGERY,CARDIOVASCULA
R SURGERY,ENT,GENERAL
MEDICINE,NEUROSURGERY,
ORTHOPAEDICS,POLYTRAU
MA,UROLOGY,HEART
TRANSPLANT,LIVER
TRANSPLANT,KIDNEY
TRANSPLANT,COVID,RIRS
procedure"

"Vittala International
Institute Of
Ophthalmology",Bengaluru,"Vittala International
Institute Of
Ophthalmology C A  Site
No 1 2Nd Cross 2Nd
Main 7Th Block
Banashankari 3Rd Stage
Hosakerehalli Bangalore
560085",8026722214,"info@viio.o
rg","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini,Rashtriy
a Bal Swasthya
Karyakram",OPHTHALMOLOGY

"SPARSH HOSPITAL RR
Nagar",Bengaluru,"No 8 Ideal Homes HBCS
Layout  Rajarajeshwari
Nagar Bangalore South
560098",9513466026,"sast.msr@sp
arshhospital.
com","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini,Organ
Transplantion","GENERAL
SURGERY,CARDIOLOGY,CA
RDIOTHORACIC
SURGERY,CARDIOVASCULA
R SURGERY,ENT,GENERAL
MEDICINE,NEUROSURGERY,
ORTHOPAEDICS,POLYTRAU
MA,UROLOGY,HEART
TRANSPLANT,LIVER
TRANSPLANT,KIDNEY
TRANSPLANT,COVID,RIRS
procedure"

"Vittala International
Institute Of
Ophthalmology",Bengaluru,"Vittala International
Institute Of
Ophthalmology C A  Site
No 1 2Nd Cross 2Nd
Main 7Th Block
Banashankari 3Rd Stage
Hosakerehalli Bangalore
560085",8026722214,"info@viio.o
rg","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini,Rashtriy
a Bal Swasthya
Karyakram",OPHTHALMOLOGY

"Rajarajeswari Medical
college And Hospital",Bengaluru,"Rajarajeswari Medical
college And Hospital
Kambipura Mysore Road
Bangalore 560074",8028437888,"insurancema
nager@rrmc
h.org","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini,Organ
Transplantion,Hutti
Suvarna Arogya
Yojane,Rashtriya
Bal Swasthya
Karyakram","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,BURNS,CAR
DIOLOGY,CARDIOTHORACI
C
SURGERY,CARDIOVASCULA
R SURGERY,ENT,GENERAL
MEDICINE,MEDICAL
ONCOLOGY,NEONATAL
AND
PAEDIATRICS,NEUROSURGE
RY,OPHTHALMOLOGY,ORT
HOPAEDICS,POLYTRAUMA,
RADIATION
ONCOLOGY,SURGICAL
ONCOLOGY,UROLOGY,KIDN
EY TRANSPLANT,PLASTIC &
RECONSTRUCTIVE
SURGERY,COVID,Accident
Victims,TKR and THR,RIRS
procedure"

"Rajarajeswari Medical
college And Hospital",Bengaluru,"Rajarajeswari Medical
college And Hospital
Kambipura Mysore Road
Bangalore 560074",8028437888,"insurancema
nager@rrmc
h.org","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini,Organ
Transplantion,Hutti
Suvarna Arogya
Yojane,Rashtriya
Bal Swasthya
Karyakram","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,BURNS,CAR
DIOLOGY,CARDIOTHORACI
C
SURGERY,CARDIOVASCULA
R SURGERY,ENT,GENERAL
MEDICINE,MEDICAL
ONCOLOGY,NEONATAL
AND
PAEDIATRICS,NEUROSURGE
RY,OPHTHALMOLOGY,ORT
HOPAEDICS,POLYTRAUMA,
RADIATION
ONCOLOGY,SURGICAL
ONCOLOGY,UROLOGY,KIDN
EY TRANSPLANT,PLASTIC &
RECONSTRUCTIVE
SURGERY,COVID,Accident
Victims,TKR and THR,RIRS
procedure"

"Healthcare Global
Enterprises Ltd",Bengaluru,"Healthcare Global
Enterprises Ltd  No44 45
2 2Nd Cross Raja
Rammohan Roy Extn Off
Lalbagh Double Road
Bangalore 560027",8040206000,"vasbio@hcg
el.com","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini,Rare
and High cost
disease","MEDICAL
ONCOLOGY,RADIATION
ONCOLOGY,SURGICAL
ONCOLOGY,COVID,Rare
Disease"

"Healthcare Global
Enterprises Ltd",Bengaluru,"Healthcare Global
Enterprises Ltd  No44 45
2 2Nd Cross Raja
Rammohan Roy Extn Off
Lalbagh Double Road
Bangalore 560027",8040206000,"vasbio@hcg
el.com","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini,Rare
and High cost
disease","MEDICAL
ONCOLOGY,RADIATION
ONCOLOGY,SURGICAL
ONCOLOGY,COVID,Rare
Disease"

Bangalore Nethralaya,Bengaluru,"Bangalore Nethralaya 946
21St Main Near Bda
Complex Banashankari
2Nd Stage Bangalore
Urban 560070",8065375566,"bangalorene
thralaya@g
mail.com","Ayushman Bharat -
Arogya Karnataka",OPHTHALMOLOGY

Bangalore Nethralaya,Bengaluru,"Bangalore Nethralaya 946
21St Main Near Bda
Complex Banashankari
2Nd Stage Bangalore
Urban 560070",8065375566,"bangalorene
thralaya@g
mail.com","Ayushman Bharat -
Arogya Karnataka",OPHTHALMOLOGY

"Specialist Health System
Pvt Limited",Bengaluru,"Specialist Health System
Pvt Limited  No 216 7 Th
Main 80 Ft Road 1 St
Block Hrbr Layout
Kalayanagar Bangalore
560043",8042522322,"admin@spe
cialisthospit
al.co.in","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini","CARDIOLOGY,CARDIOTHOR
ACIC SURGERY,COVID"

St Marthas Heart Centre,Bengaluru,"St Marthas Heart Centre
No 05 Nrupathunga Road
Bangalore 560001",8022275044,"abhijit.maitr
a@narayana
health.org","Ayushman Bharat -
Arogya Karnataka","CARDIOLOGY,CARDIOTHOR
ACIC SURGERY"

"Specialist Health System
Pvt Limited",Bengaluru,"Specialist Health System
Pvt Limited  No 216 7 Th
Main 80 Ft Road 1 St
Block Hrbr Layout
Kalayanagar Bangalore
560043",8042522322,"admin@spe
cialisthospit
al.co.in","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini","CARDIOLOGY,CARDIOTHOR
ACIC SURGERY,COVID"

St Marthas Heart Centre,Bengaluru,"St Marthas Heart Centre
No 05 Nrupathunga Road
Bangalore 560001",8022275044,"abhijit.maitr
a@narayana
health.org","Ayushman Bharat -
Arogya Karnataka","CARDIOLOGY,CARDIOTHOR
ACIC SURGERY"

"Rainbow Childrens
Medicare Private Limited",Bengaluru,"Sy No 8 5 Marathalli  Kr
Puram Outer Ring Road
Doddanekundi Marathalli
Bengaluru 560037",8884436033,"marketingbl
r@rainbowh
ospitals.in","Ayushman Bharat -
Arogya Karnataka","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,BURNS,ENT
,GENERAL
MEDICINE,MEDICAL
ONCOLOGY,NEONATAL
AND
PAEDIATRICS,ORTHOPAEDI
CS,POLYTRAUMA,SURGICA
L
ONCOLOGY,UROLOGY,COVI
D"

"B W Lions
Superspeciality Eye
Hospital",Bengaluru,"B W Lions Super
speciality Eye Hospital
05 Lions Eye Hospital
Road Off J C Road
Bangalore South 560002",8022121253,"info@bwlio
nseyehospit
al.org","Ayushman Bharat -
Arogya Karnataka",OPHTHALMOLOGY

"Rainbow Childrens
Medicare Private Limited",Bengaluru,"Sy No 8 5 Marathalli  Kr
Puram Outer Ring Road
Doddanekundi Marathalli
Bengaluru 560037",8884436033,"marketingbl
r@rainbowh
ospitals.in","Ayushman Bharat -
Arogya Karnataka","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,BURNS,ENT
,GENERAL
MEDICINE,MEDICAL
ONCOLOGY,NEONATAL
AND
PAEDIATRICS,ORTHOPAEDI
CS,POLYTRAUMA,SURGICA
L
ONCOLOGY,UROLOGY,COVI
D"

"B W Lions
Superspeciality Eye
Hospital",Bengaluru,"B W Lions Super
speciality Eye Hospital
05 Lions Eye Hospital
Road Off J C Road
Bangalore South 560002",8022121253,"info@bwlio
nseyehospit
al.org","Ayushman Bharat -
Arogya Karnataka",OPHTHALMOLOGY

"MVJ Medical College
And Research Hospital","Bengaluru
Rural","Mvj Medical College And
Research Hospital  30Th
Km Milestone National
Highway 04 Hoskote
Dandupalya 562114",8028060251,"ms@mvjmc
.edu.in","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini,Hutti
Suvarna Arogya
Yojane,Rashtriya
Bal Swasthya
Karyakram","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,BURNS,DEN
TAL AND ORAL AND
MAXILLOFACIAL
SURGERY,ENT,GENERAL
MEDICINE,NEUROSURGERY,
OPHTHALMOLOGY,ORTHOP
AEDICS,POLYTRAUMA,URO
LOGY,PLASTIC &
RECONSTRUCTIVE
SURGERY,COVID,Accident
Victims,TKR and THR"

"Nethrakashi Eye Hospital
And Micro Surgical
Center",Bengaluru,"Nethrakashi Eye Hospital
And Micro Surgical
Center  No 33 1St Main
Subramanya Pura Main
Road Telecom Layout
Padmanabhanagar
Bangalore South 560061",8026393739,"sureshkorati
@yahoo.co.i
n","Ayushman Bharat -
Arogya Karnataka",OPHTHALMOLOGY

"MVJ Medical College
And Research Hospital","Bengaluru
Rural","Mvj Medical College And
Research Hospital  30Th
Km Milestone National
Highway 04 Hoskote
Dandupalya 562114",8028060251,"ms@mvjmc
.edu.in","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini,Hutti
Suvarna Arogya
Yojane,Rashtriya
Bal Swasthya
Karyakram","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,BURNS,DEN
TAL AND ORAL AND
MAXILLOFACIAL
SURGERY,ENT,GENERAL
MEDICINE,NEUROSURGERY,
OPHTHALMOLOGY,ORTHOP
AEDICS,POLYTRAUMA,URO
LOGY,PLASTIC &
RECONSTRUCTIVE
SURGERY,COVID,Accident
Victims,TKR and THR"

"Nethrakashi Eye Hospital
And Micro Surgical
Center",Bengaluru,"Nethrakashi Eye Hospital
And Micro Surgical
Center  No 33 1St Main
Subramanya Pura Main
Road Telecom Layout
Padmanabhanagar
Bangalore South 560061",8026393739,"sureshkorati
@yahoo.co.i
n","Ayushman Bharat -
Arogya Karnataka",OPHTHALMOLOGY

Sagar Hospitals,Bengaluru,"Sagar Hospitals Shavige
Malleshwara Hills
Kumarswamy Layout
Banashankari Bangalore
South 560078",42999999,"managervas
@Sagarhosp
itals.in","Ayushman Bharat -
Arogya Karnataka",COVID

Sagar Hospitals,Bengaluru,"Sagar Hospitals Shavige
Malleshwara Hills
Kumarswamy Layout
Banashankari Bangalore
South 560078",42999999,"managervas
@Sagarhosp
itals.in","Ayushman Bharat -
Arogya Karnataka",COVID

"Narayana Super Speciality
Hospital",Bengaluru,"Narayana Super Speciality
Hospital No 24  9Th Cross
Margosa Road
MalleshwaramBangalore
560003",8023084000,"muraliramsa
stri@gmail.
com","Ayushman Bharat -
Arogya Karnataka","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,CARDIOLO
GY,CARDIOTHORACIC
SURGERY,CARDIOVASCULA
R SURGERY,NEONATAL
AND
PAEDIATRICS,NEUROSURGE
RY,ORTHOPAEDICS,SURGIC
AL ONCOLOGY,UROLOGY"

"Medihope Hospitals And
Research Centre Pvt Ltd",Bengaluru,"Medihope Hospitals And
Research Centre Pvt Ltd
No 114 1 Malleshpalya
Main Road New
Thippasandra Post
Bangalore 560075",8033431000,"samcomidih
opeblr@gm
ail.com","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini","CARDIOLOGY,CARDIOTHOR
ACIC
SURGERY,NEUROSURGERY,
ORTHOPAEDICS,POLYTRAU
MA,UROLOGY,COVID"

"Tathagat Heart Care
Centre Llp",Bengaluru,"No 31 32 Mallige Medical
Centre Premises Crescent
Road Bangalore",8022357777,"tathagathear
tcentre@gm
ail.com","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini","CARDIOLOGY,CARDIOTHOR
ACIC
SURGERY,EMERGENCY
ROOM"

"Narayana Super Speciality
Hospital",Bengaluru,"Narayana Super Speciality
Hospital No 24  9Th Cross
Margosa Road
MalleshwaramBangalore
560003",8023084000,"muraliramsa
stri@gmail.
com","Ayushman Bharat -
Arogya Karnataka","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,CARDIOLO
GY,CARDIOTHORACIC
SURGERY,CARDIOVASCULA
R SURGERY,NEONATAL
AND
PAEDIATRICS,NEUROSURGE
RY,ORTHOPAEDICS,SURGIC
AL ONCOLOGY,UROLOGY"

"Medihope Hospitals And
Research Centre Pvt Ltd",Bengaluru,"Medihope Hospitals And
Research Centre Pvt Ltd
No 114 1 Malleshpalya
Main Road New
Thippasandra Post
Bangalore 560075",8033431000,"samcomidih
opeblr@gm
ail.com","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini","CARDIOLOGY,CARDIOTHOR
ACIC
SURGERY,NEUROSURGERY,
ORTHOPAEDICS,POLYTRAU
MA,UROLOGY,COVID"

"Tathagat Heart Care
Centre Llp",Bengaluru,"No 31 32 Mallige Medical
Centre Premises Crescent
Road Bangalore",8022357777,"tathagathear
tcentre@gm
ail.com","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini","CARDIOLOGY,CARDIOTHOR
ACIC
SURGERY,EMERGENCY
ROOM"

"Leena Multispeciality
Hospital","Bengaluru
Rural","S Narasimhaiah Lay Out
Budigere Road
Devanahalli Town",9535000622,"varsha.arun
kumar@msr
mh.com
astpro@msr
mh.com","Ayushman Bharat -
Arogya Karnataka","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,ENT,GENER
AL MEDICINE,NEONATAL
AND
PAEDIATRICS,ORTHOPAEDI
CS,COVID"

"SI Vega Hospital Private
Limited Regal Hospital",Bengaluru,"No 30  Cmr Complex
Chokkanahalli
Hegdenagar Main Road
Bangalore 560064",9902011037,"insurance@r
egalhospital.
com","Ayushman Bharat -
Arogya Karnataka","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,GENERAL
MEDICINE,ORTHOPAEDICS,
UROLOGY,COVID"

Ramaiah Harsha Hospital,"Bengaluru
Rural","93 4 Sondekoppa Circle
Nelamagnala",9886809595,"msramaiahh
arsha@gmai
l.com","Ayushman Bharat -
Arogya Karnataka","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,ENT,GENERAL
MEDICINE,NEUROSURGERY,
ORTHOPAEDICS,COVID"

"Leena Multispeciality
Hospital","Bengaluru
Rural","S Narasimhaiah Lay Out
Budigere Road
Devanahalli Town",9535000622,"varsha.arun
kumar@msr
mh.com
astpro@msr
mh.com","Ayushman Bharat -
Arogya Karnataka","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,ENT,GENER
AL MEDICINE,NEONATAL
AND
PAEDIATRICS,ORTHOPAEDI
CS,COVID"

"SI Vega Hospital Private
Limited Regal Hospital",Bengaluru,"No 30  Cmr Complex
Chokkanahalli
Hegdenagar Main Road
Bangalore 560064",9902011037,"insurance@r
egalhospital.
com","Ayushman Bharat -
Arogya Karnataka","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,GENERAL
MEDICINE,ORTHOPAEDICS,
UROLOGY,COVID"

Ramaiah Harsha Hospital,"Bengaluru
Rural","93 4 Sondekoppa Circle
Nelamagnala",9886809595,"msramaiahh
arsha@gmai
l.com","Ayushman Bharat -
Arogya Karnataka","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,ENT,GENERAL
MEDICINE,NEUROSURGERY,
ORTHOPAEDICS,COVID"

Jeevan Hospital,"Chikkaballa
pur","Jeevan Hospital B B Road
Shidlaghatta Circle
Chickkballapur 562101",8156271444,"jeevanhospit
alcbp1@gm
ail.com","Ayushman Bharat -
Arogya Karnataka","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,ENT,GENER
AL
MEDICINE,ORTHOPAEDICS,
UROLOGY"

Lakshmi Eye Hospital,"Chikkaballa
pur","Lakshmi Eye Hospital No
4 3 1 Csi Hospital Raod
Beside Karnataka Bank
Chikkaballapur 562101",8156275676,"ranganath.sv
r1990@gma
il.com","Ayushman Bharat -
Arogya Karnataka",OPHTHALMOLOGY

"Nandeeshwara Super
Speciality Eye Hospital","Chikkaballa
pur","Nandeeshwara Super
Speciality Eye Hospital
Amn Complex 751 693
3Rd Division 29Th Ward
Chamrajpet
Chikkaballapur 562101",8156270072,"nandeeshaw
araeyehospit
al@gmail.c
om","Ayushman Bharat -
Arogya Karnataka",OPHTHALMOLOGY

Prasad Hospital,"Chikkaballa
pur","Prasad Hospital  M G
Road Gouribidanur561208",8155284195,"mjvprasad@
gmail.com","Ayushman Bharat -
Arogya Karnataka","OBSTETRICS AND
GYNAECOLOGY"

Jeevan Hospital,"Chikkaballa
pur","Jeevan Hospital B B Road
Shidlaghatta Circle
Chickkballapur 562101",8156271444,"jeevanhospit
alcbp1@gm
ail.com","Ayushman Bharat -
Arogya Karnataka","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,ENT,GENER
AL
MEDICINE,ORTHOPAEDICS,
UROLOGY"

Lakshmi Eye Hospital,"Chikkaballa
pur","Lakshmi Eye Hospital No
4 3 1 Csi Hospital Raod
Beside Karnataka Bank
Chikkaballapur 562101",8156275676,"ranganath.sv
r1990@gma
il.com","Ayushman Bharat -
Arogya Karnataka",OPHTHALMOLOGY

"Nandeeshwara Super
Speciality Eye Hospital","Chikkaballa
pur","Nandeeshwara Super
Speciality Eye Hospital
Amn Complex 751 693
3Rd Division 29Th Ward
Chamrajpet
Chikkaballapur 562101",8156270072,"nandeeshaw
araeyehospit
al@gmail.c
om","Ayushman Bharat -
Arogya Karnataka",OPHTHALMOLOGY

Prasad Hospital,"Chikkaballa
pur","Prasad Hospital  M G
Road Gouribidanur561208",8155284195,"mjvprasad@
gmail.com","Ayushman Bharat -
Arogya Karnataka","OBSTETRICS AND
GYNAECOLOGY"

"Manasa Sln Hospital
Bagepalli","Chikkaballa
pur","Manasa Hospital  AGS
Complex Near
Ragavendra Mata D V G
Road Bagepalli
Chikkaballapura  561207",8150283466,"manasasln2
015@gmail.
com","Ayushman Bharat -
Arogya Karnataka",COVID

Soumya Eye Hospital,"Chikkaballa
pur","14 Narayanashastri
Layout Bb Road
Chikkaballapur",9945702027,"soumyaeyeh
ospital@gm
ail.com","Ayushman Bharat -
Arogya Karnataka",OPHTHALMOLOGY

"Basappa Multi Specialty
Hospital",Chitradurga,"Basappa Multi Specialty
Hospital 5th Block B
LGowda Layout
Turuvanoor Road
Chitradurga 577501",9880820999,"drhbrangare
ddy@gmail.
com","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini","OBSTETRICS AND
GYNAECOLOGY,ORTHOPAE
DICS,UROLOGY,COVID"

"Manasa Sln Hospital
Bagepalli","Chikkaballa
pur","Manasa Hospital  AGS
Complex Near
Ragavendra Mata D V G
Road Bagepalli
Chikkaballapura  561207",8150283466,"manasasln2
015@gmail.
com","Ayushman Bharat -
Arogya Karnataka",COVID

Soumya Eye Hospital,"Chikkaballa
pur","14 Narayanashastri
Layout Bb Road
Chikkaballapur",9945702027,"soumyaeyeh
ospital@gm
ail.com","Ayushman Bharat -
Arogya Karnataka",OPHTHALMOLOGY

"Basappa Multi Specialty
Hospital",Chitradurga,"Basappa Multi Specialty
Hospital 5th Block B
LGowda Layout
Turuvanoor Road
Chitradurga 577501",9880820999,"drhbrangare
ddy@gmail.
com","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini","OBSTETRICS AND
GYNAECOLOGY,ORTHOPAE
DICS,UROLOGY,COVID"

Akshay Global Hospital,Chitradurga,"Akshay Global Hospital
Chellakere Road Opp To
Sri Ram Kalyana Mantapa
Chitradurga",9845200810,"sujayakshu
@yahoo.in","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,ENT,ORTHO
PAEDICS,UROLOGY"

"SS NARAYANA HEART
CENTRE",Davanagere,"S S Narayana
Hrudayalaya Ssims
Jnanashanakar Post Box
No 1 Nh 4 Bypass
Davanagere 577005",8192266055,"samcossnhd
vg@gmail.c
om","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini,Rashtriy
a Bal Swasthya
Karyakram","CARDIOLOGY,CARDIOTHOR
ACIC
SURGERY,CARDIOVASCULA
R SURGERY"

Gurushree Hospital,Davanagere,"Gurushree Hospital  180
3Rd Main Road8Th
CrossP J Extn
Davanagere 577002",8553824014,"gurushreeho
spitaldvg@g
mail.com","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,ENT,ORTHO
PAEDICS,UROLOGY,COVID"

Suchethana Hospital,Davanagere,"Suchethana Hospital  P J
Extension  Davanagere
577002",9742733116,"suchethana.
hospital@g
mail.com","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini","OBSTETRICS AND
GYNAECOLOGY,COVID"
